product_id,brand_name,cases_per_pallet,gross_weight,low_fat,net_weight,product_class_id,product_name,recyclable_package,shelf_depth,shelf_height,shelf_width,sku,srp,units_per_case
1,Washington,14,8.39,0,6.39,30,Washington Berry Juice,0,7.4,12.6,16.9,90748583674,2.8500,30
2,Washington,8,7.42,1,4.42,52,Washington Mango Drink,0,22.6,3.71,13.4,96516502499,0.7400,18
3,Washington,13,13.1,1,11.1,52,Washington Strawberry Drink,1,7.77,11,14.4,58427771925,0.8300,17
4,Washington,10,10.6,0,9.6,19,Washington Cream Soda,1,7.93,18.9,22.9,64412155747,3.6400,26
5,Washington,10,6.66,0,4.65,19,Washington Diet Soda,1,19.2,21.9,20.7,85561191439,2.1900,7
6,Washington,10,15.8,0,13.8,19,Washington Cola,0,21.3,18.1,6.42,29804642796,1.1500,14
7,Washington,7,18,0,17,19,Washington Diet Cola,1,21,16.9,15,20191444754,2.6100,11
8,Washington,7,8.97,0,6.97,30,Washington Orange Juice,1,8.92,11.8,7.56,89770532250,2.5900,27
9,Washington,7,7.14,0,5.13,30,Washington Cranberry Juice,0,14.4,16.1,18.5,49395100474,2.4200,34
10,Washington,14,8.13,0,7.13,30,Washington Apple Juice,1,9.2,7.32,21.6,22114084362,1.4200,28
11,Washington,10,20,1,19,52,Washington Apple Drink,0,20.4,10.3,19.4,17074288725,3.5100,3
12,Jeffers,6,8.9,1,6.89,35,Jeffers Oatmeal,1,10.8,15.4,15.9,49031038880,1.5400,14
13,Jeffers,10,10.4,0,7.39,35,Jeffers Corn Puffs,0,14.6,10.3,18.2,13229009509,2.6500,20
14,Jeffers,10,21.6,1,20.6,35,Jeffers Wheat Puffs,1,8.01,6.94,7.73,92942813038,1.9300,33
15,Jeffers,9,21.3,1,20.2,35,Jeffers Grits,0,12.4,18.3,8.96,26378549933,2.2900,14
16,Blue Label,10,21.2,1,18.2,62,Blue Label Canned Beets,0,9.39,21.9,19,62908702492,3.8300,31
17,Blue Label,9,6.91,1,3.9,62,Blue Label Creamed Corn,1,8.26,17.8,7.8,79484335780,2.9900,34
18,Blue Label,10,12.6,0,10.6,62,Blue Label Canned String Beans,1,13.3,5.18,8.87,85252254605,2.6700,26
19,Blue Label,7,15.2,1,12.1,58,Blue Label Chicken Soup,1,16.9,21.1,22.6,47163524031,3.1900,35
20,Blue Label,8,21.3,1,19.2,62,Blue Label Canned Yams,0,11.8,5.22,5.95,22169209122,2.7800,22
21,Blue Label,7,19.7,1,18.7,58,Blue Label Vegetable Soup,0,11.6,18.8,11.7,43318244814,2.3300,18
22,Blue Label,13,15,0,14,62,Blue Label Canned Tomatos,0,5.02,8.73,19,77561696171,2.2900,31
23,Blue Label,9,10.6,0,9.6,58,Blue Label Noodle Soup,1,15.7,3.16,19.8,32829326987,1.7500,17
24,Blue Label,8,12.8,1,10.8,58,Blue Label Regular Ramen Soup,0,6.98,21.3,20.7,12408414483,1.7300,23
25,Blue Label,10,9.48,1,8.47,58,Blue Label Chicken Noodle Soup,1,22.4,4.71,4.98,62032982707,1.5500,21
26,Blue Label,11,16.5,1,13.5,58,Blue Label Turkey Noodle Soup,1,12,11,12.8,34751966595,0.8800,21
27,Blue Label,12,11.2,1,8.19,58,Blue Label Beef Soup,0,3.1,7.62,9.91,29712170958,2.6500,14
28,Blue Label,9,21.9,0,20.8,62,Blue Label Canned Peas,1,21.5,22,8.1,61668921113,3.9100,33
29,Blue Label,5,17.1,0,16.1,58,Blue Label Chicken Ramen Soup,0,22.3,19.7,6.61,25866891741,1.7800,34
30,Blue Label,5,9.71,0,7.71,93,Blue Label Canned Tuna in Water,1,6.61,16.1,19.5,93159278035,1.4100,31
31,Blue Label,12,17.2,0,15.2,93,Blue Label Canned Tuna in Oil,1,3.63,13.6,19.7,50497145056,1.5500,28
32,Blue Label,11,8.86,0,6.85,94,Blue Label Large Canned Shrimp,0,13.1,3.34,8.73,87027297616,2.8600,2
33,Blue Label,5,8.27,1,6.27,95,Blue Label Fancy Canned Anchovies,0,17.7,9.12,5.9,44581629633,1.3600,16
34,Blue Label,9,16.7,1,14.7,96,Blue Label Fancy Canned Clams,1,11.9,14.4,20.6,50349548459,1.6900,30
35,Blue Label,5,18.2,1,16.2,97,Blue Label Fancy Canned Oysters,0,6.27,7.87,8.28,36162948012,2.2100,23
36,Blue Label,5,14,0,11,98,Blue Label Fancy Canned Sardines,1,19.4,16.7,17.4,11168633103,1.8000,26
37,Blue Label,6,21,1,19,58,Blue Label Rice Soup,1,6.65,17.5,15.4,32317668795,1.5900,9
38,Green Ribbon,8,14,1,11,3,Green Ribbon Canned Mixed Fruit,1,5.74,17.2,11.1,42658990025,1.3100,32
39,Green Ribbon,7,17.5,0,15.5,3,Green Ribbon Canned Peaches,1,9.04,17.7,10.8,33045791983,3.1100,5
40,King,13,11.7,0,10.6,89,King Rosy Sunglasses,1,7.7,12.1,15.7,36527009606,0.9900,25
41,Queen,12,8.61,0,5.6,103,Queen Eyeglass Screwdriver,1,8.7,6.34,18.3,86151577830,0.8900,29
42,Queen,10,13.6,0,11.6,102,Queen City Map,1,17.1,5.58,3.46,89849260449,2.8200,6
43,Club,11,17.7,0,15.7,15,Club Low Fat Cottage Cheese,1,10.7,3.71,15.4,18711594939,1.6700,33
44,Club,5,10.7,1,9.69,14,Club Low Fat Sour Cream,0,7.32,17.9,21.1,50668345093,2.9300,26
45,Club,11,13.6,0,11.6,14,Club Sour Cream,0,3.27,7.31,8.57,14866315722,0.5300,9
46,Club,7,14.4,0,12.3,11,Club Jack Cheese,1,7.42,20.9,12.7,82158702015,3.4400,19
47,Club,13,17.8,0,15.7,11,Club Muenster Cheese,1,13.2,7.03,22.3,39496569037,2.5700,21
48,Club,7,6.31,1,3.3,11,Club String Cheese,1,11.2,18.7,5.22,76026721596,1.8800,17
49,Club,12,17,0,15,11,Club Low Fat String Cheese,0,4.65,6.48,22.8,68700224757,3.3800,30
50,Club,9,9.95,1,7.94,11,Club Havarti Cheese,0,6.24,22.9,9.91,74468143582,3.9500,36
51,Club,11,8.41,1,5.4,11,Club Head Cheese,0,18.6,7.54,13.1,24898700118,1.4700,9
52,Club,13,14.5,1,13.5,11,Club Cheese Spread,1,6.06,10.4,7.4,66002255082,2.1700,27
53,Club,9,18.8,1,16.7,11,Club Sharp Cheddar Cheese,1,6.58,18.8,21.6,21053420901,3.6100,18
54,Club,14,9.58,1,7.57,11,Club Mild Cheddar Cheese,0,3.87,11.7,15.9,31394742131,2.9300,15
55,Club,7,14.3,0,12.3,15,Club Large Curd Cottage Cheese,1,14.2,16.8,12.3,21781544089,3.5000,20
56,Club,7,20.6,0,18.6,76,Club 2% Milk,1,11.6,15.3,4.1,25262761712,0.7100,21
57,Club,6,20.1,0,18.1,76,Club Buttermilk,0,16.7,8.69,13.5,74887329936,0.6100,33
58,Club,12,15.5,0,13.5,76,Club Chocolate Milk,0,13.1,15,10.7,23704183697,2.3100,18
59,Club,6,18.8,0,15.7,76,Club 1% Milk,0,22.1,16.3,5.57,42566518187,1.4000,1
60,Club,6,7.03,0,5.03,76,Club Whole Milk,0,20.8,13.3,4.42,50621138215,2.6600,2
61,Club,12,13.4,1,11.3,6,Club Strawberry Yogurt,0,13.8,11.5,16.3,93602067828,0.7400,22
62,Club,8,14.1,1,11.1,6,Club Blueberry Yogurt,0,5.51,17.4,11,70894454121,3.8200,32
63,Red Spade,6,20.3,1,18.2,81,Red Spade Chicken Hot Dogs,1,17.9,15.9,4.41,28232321143,2.9500,21
64,Red Spade,6,13.2,0,12.1,91,Red Spade Pimento Loaf,1,12.4,17.6,18.1,64762473702,1.6100,33
65,Red Spade,12,10.3,1,9.3,91,Red Spade Beef Bologna,0,22.7,8.8,4.44,57435976862,3.7600,21
66,Red Spade,9,11.9,1,8.89,91,Red Spade Low Fat Bologna,1,14.1,19.1,5,63203895688,3.4400,31
67,Red Spade,12,6.15,1,4.15,81,Red Spade Turkey Hot Dogs,0,10.3,7.96,19.9,25115165114,1.8600,27
68,Red Spade,13,16,1,14,81,Red Spade Foot-Long Hot Dogs,1,4.12,10,20.2,90120850205,3.5600,2
69,Red Spade,11,16.7,1,14.7,16,Red Spade Low Fat Cole Slaw,1,3.28,3.69,6.13,21269885897,3.1000,6
70,Red Spade,13,8.83,0,6.82,16,Red Spade Cole Slaw,0,12.6,12.2,16.9,42828248143,0.9700,6
71,Red Spade,12,21.8,0,20.7,77,Red Spade Roasted Chicken,0,7.95,5.69,4.55,33215050101,2.7600,7
72,Red Spade,6,20.2,1,17.2,8,Red Spade Corned Beef,0,15.2,11.4,20.8,36696267724,2.7400,6
73,Red Spade,11,19.1,0,16.1,8,Red Spade Sliced Turkey,0,4.95,9.46,15.9,86320835947,2.3300,22
74,Red Spade,7,6.13,1,5.13,8,Red Spade Sliced Ham,0,20.8,18.8,3.38,35137689709,1.5700,5
75,Red Spade,11,16.9,1,14.8,16,Red Spade Potato Salad,0,11.9,8.74,18.1,54000024199,0.6800,26
76,Red Spade,7,18.1,1,17.1,8,Red Spade Sliced Chicken,0,3.42,13.5,14.6,62054644227,1.6900,4
77,Blue Medal,12,14.7,1,12.6,66,Blue Medal Small Brown Eggs,0,8.86,10.2,20,50154744982,2.8000,13
78,Blue Medal,6,19.5,1,17.5,66,Blue Medal Large Brown Eggs,1,9.13,14.2,8.29,27447131276,2.1900,3
79,Blue Medal,8,12.4,1,10.3,66,Blue Medal Small Eggs,0,10.7,10.7,15.3,39665827155,1.3200,9
80,Blue Medal,12,17.1,0,14.1,66,Blue Medal Large Eggs,0,11.1,9.1,12.8,76195979714,3.6300,31
81,Blue Medal,7,17,0,15,66,Blue Medal Egg Substitute,0,10.5,18.2,12.8,68869482874,2.1300,35
82,Golden,13,21.3,1,18.2,34,Golden Low Fat Waffles,0,11,6.61,7.06,74637401700,2.7000,25
83,Golden,10,18,0,17,110,Golden Orange Popsicles,1,21.5,3.3,10.7,36548671126,3.8800,11
84,Golden,10,14.6,0,11.6,100,Golden Frozen Chicken Breast,0,4.44,3.34,4.7,11554356217,2.8100,3
85,Golden,11,7.12,1,5.11,29,Golden Frozen Pancakes,0,16.1,3.09,9.53,32703391909,1.3600,29
86,Golden,8,14.2,1,13.1,63,Golden Low Fat French Fries,0,10.7,21.7,8.7,66946843266,2.9700,3
87,Golden,6,19,0,17,64,Golden Frozen Sausage Pizza,1,18.6,21.2,15.2,57333645224,1.7800,19
88,Golden,12,7.86,0,6.86,34,Golden Blueberry Waffles,1,18.9,12.9,10.5,25695691704,0.8600,6
89,Golden,7,20.5,0,17.5,63,Golden Fajita French Fries,0,14.4,20.7,14,51418129801,1.5900,4
90,Golden,12,10.2,1,8.19,34,Golden Waffles,0,19.5,8.08,15.1,24137113690,0.7700,2
91,Golden,12,12.8,1,10.8,64,Golden Frozen Pepperoni Pizza,1,3.08,4.08,8.94,42999448180,2.6800,17
92,Golden,5,17.1,0,16.1,64,Golden Frozen Cheese Pizza,1,18.6,16.8,4.09,51054068207,0.8300,25
93,Golden,12,16.4,0,14.3,64,Golden Frozen Mushroom Pizza,1,13.1,11.5,3.11,39154168963,0.9600,21
94,Golden,9,7.9,0,4.9,34,Golden Apple Cinnamon Waffles,1,8.15,20.9,10.5,16446555256,0.6200,1
95,Golden,9,8.58,0,5.57,60,Golden Frozen Carrots,1,22.3,3.52,16.6,39882292151,1.4600,29
96,Golden,8,10.7,1,9.69,10,Golden Turkey TV Dinner,1,13.5,21.7,17.5,10314574837,2.1100,35
97,Golden,7,18.3,0,16.2,10,Golden Chicken TV Dinner,1,5.55,16.9,16.4,57605234980,0.5900,26
98,Golden,11,9.43,0,6.43,10,Golden Beef TV Dinner,0,15.2,3.28,4.38,63373153805,1.8300,33
99,Golden,13,8.83,1,6.82,28,Golden Pancake Mix,1,14.7,17.9,21.7,25284423232,2.3600,29
100,Golden,7,9.49,1,8.48,110,Golden Grape Popsicles,1,6.34,16.1,9.3,90290108323,1.9500,6
101,Golden,6,20.6,1,18.6,63,Golden Home Style French Fries,0,7.22,13.8,7.8,21439144015,0.7200,13
102,Golden,10,18.2,1,17.2,110,Golden Lime Popsicles,0,14.8,18.3,6.01,55682595372,2.4500,16
103,Golden,8,9.81,0,8.81,9,Golden Ice Cream,1,11.8,15.8,6.22,46069397330,0.9500,13
104,Golden,8,12.3,1,10.3,9,Golden Ice Cream Sandwich,0,17.9,17.4,9.93,49550614953,3.8900,11
105,Golden,11,6.16,0,4.15,60,Golden Frozen Cauliflower,1,4.28,9.49,22.7,75273053050,3.7200,21
106,Golden,6,14.6,1,11.6,60,Golden Frozen Broccoli,1,18.5,14.7,17.4,36774995923,2.9600,36
107,Golden,11,19.9,0,18.8,60,Golden Frozen Corn,0,11.2,8.76,4.91,55637330412,1.8100,25
108,Golden,6,11.9,1,9.89,60,Golden Frozen Peas,1,20.5,9.67,8.69,63691950440,2.1900,34
109,Golden,12,19,0,16,9,Golden Popsicles,0,7.67,10.4,6.69,51792051196,3.9500,11
110,Golden,13,12,1,10,100,Golden Frozen Chicken Thighs,1,6.75,10.2,22.3,29084437489,2.3500,34
111,Golden,12,15.4,1,13.3,100,Golden Frozen Chicken Wings,1,10,10.7,22,52520174384,3.4800,17
112,Golden,5,9.35,1,7.35,110,Golden Lemon Popsicles,0,13.8,15,21.9,89050326943,1.1300,35
113,Faux Products,12,19.7,0,17.7,78,Faux Products Silky Smooth Hair Conditioner,1,15,8.23,14.5,15625960230,2.2900,8
114,Faux Products,11,20.6,0,19.6,39,Faux Products Tartar Control Toothpaste,0,9.73,10.5,19.1,21393879055,0.9200,31
115,Faux Products,13,20.6,0,18.6,39,Faux Products Whitening Toothpast,1,9.62,11.7,10.6,14283847212,0.6500,33
116,Faux Products,10,8.33,0,5.32,39,Faux Products Toothpaste,1,13.4,20.8,7.45,79289532303,3.9700,8
117,Faux Products,10,9.24,0,7.23,39,Faux Products Deodorant,0,8.19,3.12,12,10438567996,2.7500,31
118,Faux Products,13,8.27,0,6.27,79,Faux Products Conditioning Shampoo,1,3.48,14.1,8.55,44682019352,1.4800,20
119,Faux Products,12,20.1,0,19.1,79,Faux Products Extra Moisture Shampoo,0,14.7,8.33,7.86,35068821310,2.2800,7
120,Faux Products,13,12.9,0,9.89,88,Faux Products Angled Toothbrush,0,22,5.6,9.99,14647908806,2.2600,23
121,Faux Products,11,11.6,0,8.6,79,Faux Products Apricot Shampoo,1,22.4,6.61,21.4,64272477030,2.9800,21
122,Faux Products,10,12.5,0,10.5,70,Faux Products Childrens Aspirin,0,17.1,8.89,6.11,36991460919,1.9900,9
123,Faux Products,7,12.4,0,9.39,70,Faux Products Buffered Aspirin,0,22.6,17.5,3.1,31951665282,3.8400,21
124,Faux Products,11,13.3,0,10.3,71,Faux Products 200 MG Ibuprofen,1,17.3,19.7,7.72,52691374421,1.2100,8
125,Faux Products,11,11.1,0,9.1,72,Faux Products 200 MG Acetominifen,0,8.03,5.18,15.1,16889345049,2.3200,31
126,Faux Products,6,20.8,0,19.7,73,Faux Products HCL Nasal Spray,1,5.03,18,21.3,18083861470,1.6100,22
127,Faux Products,14,16.7,0,13.7,73,Faux Products Dishwasher Detergent,1,16.3,12.2,20.6,41519598364,1.7400,10
128,Faux Products,5,14.5,0,12.5,75,Faux Products Multi-Symptom Cold Remedy,0,7.02,17.6,8.09,78049750924,0.5300,26
129,Faux Products,13,9.49,0,7.48,75,Faux Products Childrens Cold Remedy,1,3.49,10.6,14.2,94625384211,1.5500,23
130,Faux Products,12,21.3,0,20.2,74,Faux Products Laundry Detergent,1,14.7,4.82,13.5,10393303036,2.2300,10
131,Faux Products,13,19.1,0,16.1,74,Faux Products Mint Mouthwash,0,5.48,10.2,20.9,62304572463,2.4000,26
132,Denny,12,20,0,18,80,Denny 60 Watt Lightbulb,1,20.2,12.5,5.59,37310257554,1.9200,14
133,Denny,6,14,0,12,56,Denny Plastic Forks,0,12,15.4,16.7,90229007601,0.7000,3
